OTU ,Taxa,Phylum,Class
1108,"d:Bacteria(1.0000),p:Bacteroidetes(0.9913),c:Sphingobacteriia(0.9848),o:Sphingobacteriales(0.9950),f:Saprospiraceae(0.9829),g:uncultured_1272(0.9739)",Bacteroidetes,Sphingobacteriia
1109,"d:Bacteria(1.0000),p:Proteobacteria(0.6647),c:Gammaproteobacteria(0.4405),o:Legionellales(0.2011),f:Coxiellaceae(0.1002),g:Aquicella(0.0061)",Proteobacteria,Gammaproteobacteria
1110,"d:Bacteria(1.0000),p:Proteobacteria(0.7638),c:Alphaproteobacteria(0.7396),o:Rhodospirillales(0.5481),f:Rhodospirillaceae(0.3231),g:uncultured_2755(0.0247)",Proteobacteria,Alphaproteobacteria
1111,"d:Bacteria(1.0000),p:Bacteroidetes(0.9678),c:Sphingobacteriia(0.8575),o:Sphingobacteriales(0.7503),f:Saprospiraceae(0.6043),g:uncultured_1272(0.0972)",Bacteroidetes,Sphingobacteriia
1112,"d:Bacteria(1.0000),p:Fibrobacteres(0.7125),c:Fibrobacteria(0.6032),o:possible_order_07(0.4230),f:Unknown_Family_1002363(0.2733),g:Unknown_Genus_1000484(0.0283)",Fibrobacteres,Fibrobacteria
1113,"d:Bacteria(1.0000),p:Lentisphaerae(0.5817),c:SS1_B_03_39(0.1244),o:Unknown_Order_1002459(0.0741),f:Unknown_Family_1002460(0.0243),g:Unknown_Genus_1000599(0.0011)",Lentisphaerae,SS1_B_03_39
1114,"d:Bacteria(1.0000),p:Spirochaetae(0.9840),c:Spirochaetes(0.9835),o:Spirochaetales(0.9909),f:Spirochaetaceae(0.9923),g:Spirochaeta_2(0.9741)",Spirochaetae,Spirochaetes
1115,"d:Bacteria(1.0000),p:Proteobacteria(0.9656),c:Alphaproteobacteria(0.9790),o:Sphingomonadales(0.9821),f:Sphingomonadaceae(0.6504),g:Sphingorhabdus(0.6585)",Proteobacteria,Alphaproteobacteria
1116,"d:Bacteria(1.0000),p:Planctomycetes(0.9678),c:Phycisphaerae(0.9302),o:Phycisphaerales(0.8343),f:Phycisphaeraceae(0.8344),g:Urania_1B_19_marine_sediment_group(0.3930)",Planctomycetes,Phycisphaerae
1117,"d:Bacteria(1.0000),p:Bacteroidetes(0.7288),c:Sphingobacteriia(0.6106),o:Sphingobacteriales(0.4582),f:Chitinophagaceae(0.2999),g:uncultured_1252(0.0283)",Bacteroidetes,Sphingobacteriia
1118,"d:Bacteria(1.0000),p:Proteobacteria(0.8699),c:Deltaproteobacteria(0.8810),o:Desulfobacterales(0.6244),f:Desulfobacteraceae(0.4500),g:uncultured_3138(0.0533)",Proteobacteria,Deltaproteobacteria
1119,"d:Bacteria(1.0000),p:Bacteroidetes(0.8876),c:Bacteroidia(0.7396),o:Bacteroidales(0.6091),f:Porphyromonadaceae(0.4319),g:uncultured_959(0.1411)",Bacteroidetes,Bacteroidia
1120,"d:Bacteria(1.0000),p:Bacteroidetes(0.7179),c:Sphingobacteriia(0.3870),o:Sphingobacteriales(0.2275),f:WCHB1_69(0.1193),g:Unknown_Genus_1000345(0.0073)",Bacteroidetes,Sphingobacteriia
1121,"d:Bacteria(1.0000),p:Planctomycetes(0.9804),c:Planctomycetacia(0.9775),o:Planctomycetales(0.9832),f:Planctomycetaceae(0.9831),g:Blastopirellula(0.8663)",Planctomycetes,Planctomycetacia
1122,"d:Bacteria(1.0000),p:Proteobacteria(0.7233),c:Gammaproteobacteria(0.5474),o:Oceanospirillales(0.2819),f:ML617_5J_3(0.1668),g:Unknown_Genus_1000945(0.0140)",Proteobacteria,Gammaproteobacteria
1123,"d:Bacteria(1.0000),p:Proteobacteria(0.9230),c:Gammaproteobacteria(0.7396),o:Order_Incertae_Sedis_3682(0.6091),f:Family_Incertae_Sedis_3683(0.4319),g:Marinicella(0.1411)",Proteobacteria,Gammaproteobacteria
1124,"d:Bacteria(1.0000),p:Proteobacteria(0.6094),c:Alphaproteobacteria(0.4939),o:Rickettsiales(0.2011),f:SM2D12(0.1002),g:Unknown_Genus_1000734(0.0061)",Proteobacteria,Alphaproteobacteria
1125,"d:Bacteria(1.0000),p:Proteobacteria(0.9571),c:Deltaproteobacteria(0.9573),o:Bdellovibrionales(0.9707),f:Bacteriovoracaceae(0.9283),g:uncultured_3097(0.1264)",Proteobacteria,Deltaproteobacteria
1126,"d:Bacteria(1.0000),p:Bacteroidetes(0.9949),c:Flavobacteriia(0.9775),o:Flavobacteriales(0.9832),f:Cryomorphaceae(0.9831),g:Owenweeksia(0.9772)",Bacteroidetes,Flavobacteriia
1127,"d:Bacteria(1.0000),p:Planctomycetes(0.9550),c:OM190(0.9046),o:Unknown_Order_1002492(0.8063),f:Unknown_Family_1002493(0.7884),g:Unknown_Genus_1000622(0.8429)",Planctomycetes,OM190
1128,"d:Bacteria(1.0000),p:Bacteroidetes(0.9731),c:Sphingobacteriia(0.9464),o:Sphingobacteriales(0.9462),f:Saprospiraceae(0.9179),g:Rubidimonas(0.5700)",Bacteroidetes,Sphingobacteriia
1129,"d:Bacteria(1.0000),p:Proteobacteria(0.9603),c:Deltaproteobacteria(0.9681),o:Bdellovibrionales(0.9733),f:Bdellovibrionaceae(0.9491),g:Bdellovibrio(0.9734)",Proteobacteria,Deltaproteobacteria
1130,"d:Bacteria(1.0000),p:Cyanobacteria(0.6924),c:Melainabacteria(0.5957),o:Vampirovibrionales(0.3877),f:Unknown_Family_1002343(0.2467),g:Unknown_Genus_1000453(0.0247)",Cyanobacteria,Melainabacteria
1131,"d:Bacteria(1.0000),p:Planctomycetes(0.9840),c:Planctomycetacia(0.9835),o:Planctomycetales(0.9909),f:Planctomycetaceae(0.9923),g:uncultured_2371(0.9601)",Planctomycetes,Planctomycetacia
1132,"d:Bacteria(1.0000),p:Proteobacteria(0.7152),c:Gammaproteobacteria(0.3870),o:Chromatiales(0.2275),f:Granulosicoccaceae(0.1193),g:Granulosicoccus(0.0073)",Proteobacteria,Gammaproteobacteria
1133,"d:Bacteria(1.0000),p:Bacteroidetes(0.9804),c:Flavobacteriia(0.9627),o:Flavobacteriales(0.9733),f:Cryomorphaceae(0.9075),g:Owenweeksia(0.9367)",Bacteroidetes,Flavobacteriia
1134,"d:Bacteria(1.0000),p:Proteobacteria(0.9711),c:Deltaproteobacteria(0.9775),o:Desulfobacterales(0.9834),f:Desulfobulbaceae(0.9831),g:Desulfurivibrio(0.9741)",Proteobacteria,Deltaproteobacteria
1135,"d:Bacteria(1.0000),p:Tenericutes(0.4987),c:Mollicutes(0.2800),o:DMI(0.1219),f:Unknown_Family_1002674(0.0428),g:Unknown_Genus_1001013(0.0022)",Tenericutes,Mollicutes
1136,"d:Bacteria(1.0000),p:Actinobacteria(0.7638),c:Acidimicrobiia(0.6403),o:Acidimicrobiales(0.5634),f:Sva0996_marine_group(0.2467),g:Unknown_Genus_1000185(0.0247)",Actinobacteria,Acidimicrobiia
1137,"d:Bacteria(1.0000),p:Bacteroidetes(0.8876),c:Sphingobacteriia(0.7396),o:Sphingobacteriales(0.6396),f:Saprospiraceae(0.4681),g:uncultured_1272(0.0679)",Bacteroidetes,Sphingobacteriia
1138,"d:Bacteria(1.0000),p:Proteobacteria(0.9764),c:Gammaproteobacteria(0.9356),o:Xanthomonadales(0.8343),f:uncultured_3830(0.6043),g:Unknown_Genus_1000986(0.5700)",Proteobacteria,Gammaproteobacteria
1139,"d:Bacteria(1.0000),p:Proteobacteria(0.9582),c:Alphaproteobacteria(0.9627),o:Rhodobacterales(0.8903),f:Rhodobacteraceae(0.8971),g:Labrenzia(0.8429)",Proteobacteria,Alphaproteobacteria
1140,"d:Bacteria(1.0000),p:Proteobacteria(0.9840),c:Alphaproteobacteria(0.9778),o:DB1_14(0.9826),f:Unknown_Family_1002533(0.9838),g:Unknown_Genus_1000663(0.9753)",Proteobacteria,Alphaproteobacteria
1141,"d:Bacteria(1.0000),p:Proteobacteria(0.9731),c:Gammaproteobacteria(0.8339),o:Order_Incertae_Sedis_3682(0.6244),f:Family_Incertae_Sedis_3683(0.4500),g:Marinicella(0.2159)",Proteobacteria,Gammaproteobacteria
1142,"d:Bacteria(1.0000),p:Proteobacteria(0.9718),c:Gammaproteobacteria(0.9410),o:Alteromonadales(0.8343),f:Alteromonadaceae(0.8344),g:Glaciecola(0.0679)",Proteobacteria,Gammaproteobacteria
