"Supplemental Table 1. Assigned Prokaryotic, 16S Taxa to OTU ID",,,,,,,,,
,,,,,,,,,
,OTU,Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species
50,49,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhodospirillales(1.0000),f:Rhodospirillaceae(1.0000),g:AEGEAN_169_marine_group(1.0000)",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN_169_marine_group,NA
51,50,"d:Bacteria(1.0000),p:Proteobacteria(0.9698),c:Alphaproteobacteria(0.9778),o:Caulobacterales(0.9809),f:Hyphomonadaceae(0.9843),g:Robiginitomaculum(0.9132)",Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Robiginitomaculum,NA
52,51,"d:Bacteria(1.0000),p:Bacteroidetes(0.9913),c:Flavobacteriia(0.9848),o:Flavobacteriales(0.9950),f:Flavobacteriaceae(0.9957),g:Lacinutrix(0.4815)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,NA
53,52,"d:Bacteria(1.0000),p:Proteobacteria(0.9656),c:Gammaproteobacteria(0.8575),o:Xanthomonadales(0.7503),f:JTB255_marine_benthic_group(0.6964),g:Unknown_Genus_1000984(0.7470)",Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,JTB255_marine_benthic_group,Unknown_Genus_1000984,NA
54,53,"d:Bacteria(1.0000),p:Bacteroidetes(0.9738),c:Sphingobacteriia(0.9573),o:Sphingobacteriales(0.9720),f:Saprospiraceae(0.9387),g:uncultured_1272(0.6585)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
55,54,"d:Bacteria(1.0000),p:Proteobacteria(0.9770),c:Betaproteobacteria(0.9627),o:Methylophilales(0.8343),f:Methylophilaceae(0.8344),g:OM43_clade(0.8663)",Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,OM43_clade,NA
56,55,"d:Bacteria(1.0000),p:Proteobacteria(0.9931),c:Alphaproteobacteria(0.9873),o:Caulobacterales(0.9809),f:Hyphomonadaceae(0.9843),g:Litorimonas(0.5700)",Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas,NA
57,56,"d:Bacteria(1.0000),p:Bacteroidetes(0.7206),c:Sphingobacteriia(0.5474),o:Sphingobacteriales(0.3172),f:S15_21(0.1402),g:Unknown_Genus_1000338(0.0104)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,S15_21,Unknown_Genus_1000338,NA
58,57,"d:Bacteria(1.0000),p:Proteobacteria(0.9672),c:Alphaproteobacteria(0.9782),o:Rhodobacterales(0.9771),f:Rhodobacteraceae(0.9803),g:Pseudophaeobacter(0.9132)",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudophaeobacter,NA
59,58,"d:Bacteria(1.0000),p:Bacteroidetes(0.9738),c:Cytophagia(0.9775),o:Cytophagales(0.9834),f:Flammeovirgaceae(0.9845),g:uncultured_1059(0.9741)",Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,uncultured_1059,NA
60,59,"d:Bacteria(1.0000),p:Cyanobacteria(0.9804),c:Chloroplast(0.9828),o:Unknown_Order_1002334(0.9889),f:Unknown_Family_1002335(0.9906),g:Unknown_Genus_1000441(0.9911)",Bacteria,Cyanobacteria,Chloroplast,Unknown_Order_1002334,Unknown_Family_1002335,Unknown_Genus_1000441,NA
61,60,"d:Bacteria(1.0000),p:Chlorobi(0.9635),c:Ignavibacteria(0.9797),o:Ignavibacteriales(0.9796),f:Ignavibacteriaceae(0.7424),g:Ignavibacterium(0.8194)",Bacteria,Chlorobi,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,NA
62,61,"d:Bacteria(1.0000),p:Proteobacteria(0.9949),c:Deltaproteobacteria(0.9904),o:Desulfobacterales(0.9832),f:Desulfobacteraceae(0.9831),g:Sva0081_sediment_group(0.9132)",Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group,NA
63,62,"d:Bacteria(1.0000),p:Bacteroidetes(0.9840),c:Flavobacteriia(0.9835),o:Flavobacteriales(0.9909),f:Flavobacteriaceae(0.9841),g:Flavobacterium(0.9367)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
64,63,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rickettsiales(1.0000),f:SAR116_clade(1.0000),g:Unknown_Genus_1000731(1.0000)",Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116_clade,Unknown_Genus_1000731,NA
65,64,"d:Bacteria(1.0000),p:Proteobacteria(0.9698),c:Gammaproteobacteria(0.9790),o:Thiotrichales(0.9809),f:Thiotrichaceae(0.9843),g:Leucothrix(0.9734)",Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Leucothrix,NA
66,65,"d:Bacteria(1.0000),p:Bacteroidetes(0.9592),c:Flavobacteriia(0.9681),o:Flavobacteriales(0.9745),f:Flavobacteriaceae(0.9595),g:Aquibacter(0.3930)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquibacter,NA
67,66,"d:Bacteria(1.0000),p:Proteobacteria(0.9705),c:Gammaproteobacteria(0.9248),o:Alteromonadales(0.7783),f:Alteromonadaceae(0.7424),g:Glaciecola(0.0533)",Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,NA
68,67,"d:Bacteria(1.0000),p:Bacteroidetes(0.9230),c:Flavobacteriia(0.9302),o:Flavobacteriales(0.8623),f:Flavobacteriaceae(0.8344),g:Ulvibacter(0.1118)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,NA
69,68,"d:Bacteria(1.0000),p:Bacteroidetes(0.9550),c:Sphingobacteriia(0.9248),o:Sphingobacteriales(0.8343),f:Saprospiraceae(0.7884),g:uncultured_1272(0.3930)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
70,69,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:OCS116_clade(0.9828),f:Unknown_Family_1002537(0.9836),g:Unknown_Genus_1000667(0.9756)",Bacteria,Proteobacteria,Alphaproteobacteria,OCS116_clade,Unknown_Family_1002537,Unknown_Genus_1000667,NA
71,70,"d:Bacteria(1.0000),p:Proteobacteria(0.9665),c:Deltaproteobacteria(0.9786),o:Desulfobacterales(0.9826),f:Desulfobulbaceae(0.9838),g:Desulfotalea(0.5700)",Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,NA
72,71,"d:Bacteria(1.0000),p:Cyanobacteria(0.9571),c:Chloroplast(0.9573),o:Unknown_Order_1002334(0.9720),f:Unknown_Family_1002335(0.9387),g:Unknown_Genus_1000441(0.9731)",Bacteria,Cyanobacteria,Chloroplast,Unknown_Order_1002334,Unknown_Family_1002335,Unknown_Genus_1000441,NA
73,72,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Alteromonadales(0.9830),f:Psychromonadaceae(0.9834),g:Psychromonas(0.9764)",Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,NA
74,73,"d:Bacteria(1.0000),p:Bacteroidetes(0.9646),c:Sphingobacteriia(0.6924),o:Sphingobacteriales(0.6091),f:Saprospiraceae(0.4137),g:uncultured_1272(0.0283)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
75,74,"d:Archaea(1.0000),p:Thaumarchaeota(0.9053),c:Marine_Group_I(0.9248),o:Unknown_Order_292(0.7223),f:Unknown_Family_293(0.6504),g:Candidatus_Nitrosopumilus(0.6585)",Archaea,Thaumarchaeota,Marine_Group_I,Unknown_Order_292,Unknown_Family_293,Candidatus_Nitrosopumilus,NA
76,75,"d:Bacteria(1.0000),p:Marinimicrobia__SAR406_clade_(1.0000),c:Unknown_Class_1002465(1.0000),o:Unknown_Order_1002466(1.0000),f:Unknown_Family_1002467(1.0000),g:Unknown_Genus_1000602(1.0000)",Bacteria,Marinimicrobia__SAR406_clade_,Unknown_Class_1002465,Unknown_Order_1002466,Unknown_Family_1002467,Unknown_Genus_1000602,NA
77,76,"d:Bacteria(1.0000),p:Proteobacteria(0.9646),c:Gammaproteobacteria(0.9519),o:E01_9C_26_marine_group(0.9462),f:Unknown_Family_1002611(0.9179),g:Unknown_Genus_1000908(0.9601)",Bacteria,Proteobacteria,Gammaproteobacteria,E01_9C_26_marine_group,Unknown_Family_1002611,Unknown_Genus_1000908,NA
78,77,"d:Bacteria(1.0000),p:Planctomycetes(1.0000),c:Planctomycetacia(1.0000),o:Planctomycetales(1.0000),f:Planctomycetaceae(1.0000),g:Blastopirellula(0.9753)",Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula,NA
79,78,"d:Bacteria(1.0000),p:Bacteroidetes(0.8522),c:Flavobacteriia(0.6924),o:Flavobacteriales(0.6091),f:NS9_marine_group(0.3594),g:Unknown_Genus_1000316(0.0825)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9_marine_group,Unknown_Genus_1000316,NA
80,79,"d:Bacteria(1.0000),p:Bacteroidetes(0.9665),c:Flavobacteriia(0.9786),o:Flavobacteriales(0.9826),f:Flavobacteriaceae(0.9843),g:Dokdonia(0.4815)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,NA
81,80,"d:Bacteria(1.0000),p:Proteobacteria(0.9560),c:Gammaproteobacteria(0.9302),o:Sva0071(0.8623),f:Unknown_Family_1002626(0.8804),g:Unknown_Genus_1000970(0.8898)",Bacteria,Proteobacteria,Gammaproteobacteria,Sva0071,Unknown_Family_1002626,Unknown_Genus_1000970,NA
82,81,"d:Bacteria(1.0000),p:Proteobacteria(0.9913),c:Gammaproteobacteria(0.9778),o:Oceanospirillales(0.9826),f:SAR86_clade(0.9838),g:Unknown_Genus_1000950(0.9753)",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86_clade,Unknown_Genus_1000950,NA
83,82,"d:Bacteria(1.0000),p:Bacteroidetes(0.7815),c:Sphingobacteriia(0.6924),o:Sphingobacteriales(0.6091),f:Saprospiraceae(0.3412),g:uncultured_1272(0.0212)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
84,83,"d:Bacteria(1.0000),p:Proteobacteria(0.9550),c:Gammaproteobacteria(0.9302),o:Cellvibrionales(0.7503),f:Halieaceae(0.5583),g:OM60_NOR5__clade(0.1118)",Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60_NOR5__clade,NA
85,84,"d:Bacteria(1.0000),p:Planctomycetes(1.0000),c:Planctomycetacia(0.9808),o:Planctomycetales(0.9855),f:Planctomycetaceae(0.9855),g:Rhodopirellula(0.9749)",Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula,NA
